2026-04-11 19:13:42.851 [main] INFO  org.ycc.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.15 with PID 78895 (/Users/yuanchengle/code/web-project/tlias-web-management/target/classes started by yuanchengle in /Users/yuanchengle/code/web-project)
2026-04-11 19:13:42.852 [main] INFO  org.ycc.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2026-04-11 19:13:43.125 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2026-04-11 19:13:43.129 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2026-04-11 19:13:43.130 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-04-11 19:13:43.130 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.53]
2026-04-11 19:13:43.143 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2026-04-11 19:13:43.143 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 280 ms
2026-04-11 19:13:43.276 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2026-04-11 19:13:43.280 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2026-04-11 19:13:43.283 [main] INFO  org.ycc.TliasWebManagementApplication-Started TliasWebManagementApplication in 0.563 seconds (process running for 0.779)
2026-04-11 19:13:52.568 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-11 19:13:52.569 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2026-04-11 19:13:52.571 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 2 ms
2026-04-11 19:13:52.594 [http-nio-8080-exec-1] INFO  org.ycc.controller.DeptController-查询全部的部门数据
2026-04-11 19:13:52.601 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2026-04-11 19:13:52.870 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2bfe2d83
2026-04-11 19:13:52.870 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2026-04-11 19:13:54.771 [http-nio-8080-exec-3] INFO  org.ycc.controller.DeptController-根据id查询部门:3
2026-04-11 19:13:56.558 [http-nio-8080-exec-5] INFO  org.ycc.controller.DeptController-修改部门:Dept(id=3, name=咨询部1, createTime=2024-09-25T09:47:40, updateTime=2026-04-11T17:36:19)
2026-04-11 19:13:56.593 [http-nio-8080-exec-7] INFO  org.ycc.controller.DeptController-查询全部的部门数据
2026-04-11 19:13:57.585 [http-nio-8080-exec-9] INFO  org.ycc.controller.DeptController-根据id查询部门:3
2026-04-11 19:13:59.643 [http-nio-8080-exec-1] INFO  org.ycc.controller.DeptController-修改部门:Dept(id=3, name=咨询部, createTime=2024-09-25T09:47:40, updateTime=2026-04-11T19:13:57)
2026-04-11 19:13:59.662 [http-nio-8080-exec-3] INFO  org.ycc.controller.DeptController-查询全部的部门数据
2026-04-11 19:15:07.112 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
